,TV,radio,radio_2,newspaper,area,sales
1,230.1,37.8,75.6,69.2,rural,22.1
2,44.5,39.3,78.6,45.1,urban,10.4
3,17.2,45.9,91.8,69.3,rural,9.3
4,151.5,41.3,82.6,58.5,urban,18.5
5,180.8,10.8,21.6,58.4,suburban,12.9
6,8.7,48.9,97.8,75.0,suburban,7.2
7,57.5,32.8,65.6,23.5,suburban,11.8
8,120.2,19.6,39.2,11.6,urban,13.2
9,8.6,2.1,4.2,1.0,rural,4.8
10,199.8,2.6,5.2,21.2,suburban,10.6
11,66.1,5.8,11.6,24.2,suburban,8.6
12,214.7,24.0,48.0,4.0,suburban,17.4
13,23.8,35.1,70.2,65.9,rural,9.2
14,97.5,7.6,15.2,7.2,urban,9.7
15,204.1,32.9,65.8,46.0,urban,19.0
16,195.4,47.7,95.4,52.9,suburban,22.4
17,67.8,36.6,73.2,114.0,rural,12.5
18,281.4,39.6,79.2,55.8,urban,24.4
19,69.2,20.5,41.0,18.3,suburban,11.3
20,147.3,23.9,47.8,19.1,rural,14.6
21,218.4,27.7,55.4,53.4,urban,18.0
22,237.4,5.1,10.2,23.5,rural,12.5
23,13.2,15.9,31.8,49.6,rural,5.6
24,228.3,16.9,33.8,26.2,suburban,15.5
25,62.3,12.6,25.2,18.3,suburban,9.7
26,262.9,3.5,7.0,19.5,rural,12.0
27,142.9,29.3,58.6,12.6,suburban,15.0
28,240.1,16.7,33.4,22.9,rural,15.9
29,248.8,27.1,54.2,22.9,suburban,18.9
30,70.6,16.0,32.0,40.8,urban,10.5
31,292.9,28.3,56.6,43.2,urban,21.4
32,112.9,17.4,34.8,38.6,rural,11.9
33,97.2,1.5,3.0,30.0,urban,9.6
34,265.6,20.0,40.0,0.3,urban,17.4
35,95.7,1.4,2.8,7.4,suburban,9.5
36,290.7,4.1,8.2,8.5,suburban,12.8
37,266.9,43.8,87.6,5.0,rural,25.4
38,74.7,49.4,98.8,45.7,suburban,14.7
39,43.1,26.7,53.4,35.1,suburban,10.1
40,228.0,37.7,75.4,32.0,rural,21.5
41,202.5,22.3,44.6,31.6,suburban,16.6
42,177.0,33.4,66.8,38.7,urban,17.1
43,293.6,27.7,55.4,1.8,suburban,20.7
44,206.9,8.4,16.8,26.4,suburban,12.9
45,25.1,25.7,51.4,43.3,rural,8.5
46,175.1,22.5,45.0,31.5,urban,14.9
47,89.7,9.9,19.8,35.7,suburban,10.6
48,239.9,41.5,83.0,18.5,suburban,23.2
49,227.2,15.8,31.6,49.9,suburban,14.8
50,66.9,11.7,23.4,36.8,rural,9.7
51,199.8,3.1,6.2,34.6,rural,11.4
52,100.4,9.6,19.2,3.6,urban,10.7
53,216.4,41.7,83.4,39.6,rural,22.6
54,182.6,46.2,92.4,58.7,suburban,21.2
55,262.7,28.8,57.6,15.9,rural,20.2
56,198.9,49.4,98.8,60.0,suburban,23.7
57,7.3,28.1,56.2,41.4,urban,5.5
58,136.2,19.2,38.4,16.6,urban,13.2
59,210.8,49.6,99.2,37.7,urban,23.8
60,210.7,29.5,59.0,9.3,urban,18.4
61,53.5,2.0,4.0,21.4,suburban,8.1
62,261.3,42.7,85.4,54.7,suburban,24.2
63,239.3,15.5,31.0,27.3,rural,15.7
64,102.7,29.6,59.2,8.4,rural,14.0
65,131.1,42.8,85.6,28.9,urban,18.0
66,69.0,9.3,18.6,0.9,rural,9.3
67,31.5,24.6,49.2,2.2,suburban,9.5
68,139.3,14.5,29.0,10.2,suburban,13.4
69,237.4,27.5,55.0,11.0,suburban,18.9
70,216.8,43.9,87.8,27.2,rural,22.3
71,199.1,30.6,61.2,38.7,urban,18.3
72,109.8,14.3,28.6,31.7,urban,12.4
73,26.8,33.0,66.0,19.3,rural,8.8
74,129.4,5.7,11.4,31.3,suburban,11.0
75,213.4,24.6,49.2,13.1,rural,17.0
76,16.9,43.7,87.4,89.4,suburban,8.7
77,27.5,1.6,3.2,20.7,urban,6.9
78,120.5,28.5,57.0,14.2,rural,14.2
79,5.4,29.9,59.8,9.4,rural,5.3
80,116.0,7.7,15.4,23.1,suburban,11.0
81,76.4,26.7,53.4,22.3,suburban,11.8
82,239.8,4.1,8.2,36.9,suburban,12.3
83,75.3,20.3,40.6,32.5,urban,11.3
84,68.4,44.5,89.0,35.6,urban,13.6
85,213.5,43.0,86.0,33.8,suburban,21.7
86,193.2,18.4,36.8,65.7,suburban,15.2
87,76.3,27.5,55.0,16.0,urban,12.0
88,110.7,40.6,81.2,63.2,urban,16.0
89,88.3,25.5,51.0,73.4,suburban,12.9
90,109.8,47.8,95.6,51.4,suburban,16.7
91,134.3,4.9,9.8,9.3,rural,11.2
92,28.6,1.5,3.0,33.0,urban,7.3
93,217.7,33.5,67.0,59.0,urban,19.4
94,250.9,36.5,73.0,72.3,rural,22.2
95,107.4,14.0,28.0,10.9,suburban,11.5
96,163.3,31.6,63.2,52.9,rural,16.9
97,197.6,3.5,7.0,5.9,rural,11.7
98,184.9,21.0,42.0,22.0,suburban,15.5
99,289.7,42.3,84.6,51.2,suburban,25.4
100,135.2,41.7,83.4,45.9,rural,17.2
101,222.4,4.3,8.6,49.8,urban,11.7
102,296.4,36.3,72.6,100.9,rural,23.8
103,280.2,10.1,20.2,21.4,suburban,14.8
104,187.9,17.2,34.4,17.9,rural,14.7
105,238.2,34.3,68.6,5.3,rural,20.7
106,137.9,46.4,92.8,59.0,rural,19.2
107,25.0,11.0,22.0,29.7,urban,7.2
108,90.4,0.3,0.6,23.2,urban,8.7
109,13.1,0.4,0.8,25.6,rural,5.3
110,255.4,26.9,53.8,5.5,urban,19.8
111,225.8,8.2,16.4,56.5,suburban,13.4
112,241.7,38.0,76.0,23.2,rural,21.8
113,175.7,15.4,30.8,2.4,rural,14.1
114,209.6,20.6,41.2,10.7,urban,15.9
115,78.2,46.8,93.6,34.5,urban,14.6
116,75.1,35.0,70.0,52.7,rural,12.6
117,139.2,14.3,28.6,25.6,urban,12.2
118,76.4,0.8,1.6,14.8,urban,9.4
119,125.7,36.9,73.8,79.2,urban,15.9
120,19.4,16.0,32.0,22.3,rural,6.6
121,141.3,26.8,53.6,46.2,rural,15.5
122,18.8,21.7,43.4,50.4,urban,7.0
123,224.0,2.4,4.8,15.6,suburban,11.6
124,123.1,34.6,69.2,12.4,suburban,15.2
125,229.5,32.3,64.6,74.2,urban,19.7
126,87.2,11.8,23.6,25.9,suburban,10.6
127,7.8,38.9,77.8,50.6,suburban,6.6
128,80.2,0.0,0.0,9.2,rural,8.8
129,220.3,49.0,98.0,3.2,urban,24.7
130,59.6,12.0,24.0,43.1,suburban,9.7
131,0.7,39.6,79.2,8.7,urban,1.6
132,265.2,2.9,5.8,43.0,urban,12.7
133,8.4,27.2,54.4,2.1,suburban,5.7
134,219.8,33.5,67.0,45.1,suburban,19.6
135,36.9,38.6,77.2,65.6,suburban,10.8
136,48.3,47.0,94.0,8.5,suburban,11.6
137,25.6,39.0,78.0,9.3,urban,9.5
138,273.7,28.9,57.8,59.7,rural,20.8
139,43.0,25.9,51.8,20.5,urban,9.6
140,184.9,43.9,87.8,1.7,rural,20.7
141,73.4,17.0,34.0,12.9,suburban,10.9
142,193.7,35.4,70.8,75.6,rural,19.2
143,220.5,33.2,66.4,37.9,suburban,20.1
144,104.6,5.7,11.4,34.4,suburban,10.4
145,96.2,14.8,29.6,38.9,urban,11.4
146,140.3,1.9,3.8,9.0,suburban,10.3
147,240.1,7.3,14.6,8.7,suburban,13.2
148,243.2,49.0,98.0,44.3,urban,25.4
149,38.0,40.3,80.6,11.9,urban,10.9
150,44.7,25.8,51.6,20.6,urban,10.1
151,280.7,13.9,27.8,37.0,urban,16.1
152,121.0,8.4,16.8,48.7,urban,11.6
153,197.6,23.3,46.6,14.2,suburban,16.6
154,171.3,39.7,79.4,37.7,urban,19.0
155,187.8,21.1,42.2,9.5,suburban,15.6
156,4.1,11.6,23.2,5.7,suburban,3.2
157,93.9,43.5,87.0,50.5,urban,15.3
158,149.8,1.3,2.6,24.3,rural,10.1
159,11.7,36.9,73.8,45.2,rural,7.3
160,131.7,18.4,36.8,34.6,urban,12.9
161,172.5,18.1,36.2,30.7,suburban,14.4
162,85.7,35.8,71.6,49.3,suburban,13.3
163,188.4,18.1,36.2,25.6,suburban,14.9
164,163.5,36.8,73.6,7.4,urban,18.0
165,117.2,14.7,29.4,5.4,urban,11.9
166,234.5,3.4,6.8,84.8,rural,11.9
167,17.9,37.6,75.2,21.6,suburban,8.0
168,206.8,5.2,10.4,19.4,rural,12.2
169,215.4,23.6,47.2,57.6,suburban,17.1
170,284.3,10.6,21.2,6.4,rural,15.0
171,50.0,11.6,23.2,18.4,suburban,8.4
172,164.5,20.9,41.8,47.4,suburban,14.5
173,19.6,20.1,40.2,17.0,rural,7.6
174,168.4,7.1,14.2,12.8,urban,11.7
175,222.4,3.4,6.8,13.1,rural,11.5
176,276.9,48.9,97.8,41.8,urban,27.0
177,248.4,30.2,60.4,20.3,suburban,20.2
178,170.2,7.8,15.6,35.2,urban,11.7
179,276.7,2.3,4.6,23.7,suburban,11.8
180,165.6,10.0,20.0,17.6,suburban,12.6
181,156.6,2.6,5.2,8.3,urban,10.5
182,218.5,5.4,10.8,27.4,suburban,12.2
183,56.2,5.7,11.4,29.7,rural,8.7
184,287.6,43.0,86.0,71.8,urban,26.2
185,253.8,21.3,42.6,30.0,suburban,17.6
186,205.0,45.1,90.2,19.6,urban,22.6
187,139.5,2.1,4.2,26.6,suburban,10.3
188,191.1,28.7,57.4,18.2,rural,17.3
189,286.0,13.9,27.8,3.7,urban,15.9
190,18.7,12.1,24.2,23.4,rural,6.7
191,39.5,41.1,82.2,5.8,suburban,10.8
192,75.5,10.8,21.6,6.0,rural,9.9
193,17.2,4.1,8.2,31.6,suburban,5.9
194,166.8,42.0,84.0,3.6,suburban,19.6
195,149.7,35.6,71.2,6.0,rural,17.3
196,38.2,3.7,7.4,13.8,suburban,7.6
197,94.2,4.9,9.8,8.1,urban,9.7
198,177.0,9.3,18.6,6.4,suburban,12.8
199,283.6,42.0,84.0,66.2,rural,25.5
200,232.1,8.6,17.2,8.7,rural,13.4
